Unnamed: 0,header,NumberofInstances,Area,NumberofAttributes,DateDonated,MissingValues,NumberofWebHits,multivariate_data,time_series_data,data_generator_data,domain_theory_data,image_data,relational_data,sequential_data,spatial_data,univariate_data,spatio_temporal_data,text_data,transactional_data,num_data_characteristics,categorical_attributes,real_attributes,integer_attributes,no_listed_attributes,num_attribute_characteristics,causal_discover_task,classification_task,regression_task,function_learning_task,reccomendation_task,description_task,relational_learning_task,no_given_task,clustering_task,num_associated_tasks,source_institution_places,year_donated,year_month_donated,DatasetAge,DatapointCount
191,Zoo Data Set,101,Life,17,5/15/1990,No,320027,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['University of Nottingham', 'Nottingham', 'United Kingdom', 'GBR']]",1990,5-1990,30,1717
192,Gas sensor arrays in open sampling settings Data Set,18000,Computer,1950000,6/5/2013,No,46026,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of California, San Diego', 'San Diego, CA', 'United States', 'USA']]",2013,6-2013,7,35100000000
193,Gesture Phase Segmentation Data Set,9900,Other,50,6/18/2014,No,52373,1,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,"[['University of S„o Paulo', 'Sao Paulo', 'Brazil', 'BRA']]",2014,6-2014,6,495000
194,"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder    Problem: Pat Data Set",306,Other,5,10/13/2013,No,33422,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,,2013,10-2013,7,1530
195,Record Linkage Comparison Patterns Data Set,5749132,Other,12,3/10/2011,Yes,80492,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Johannes Gutenberg University', 'Mainz', 'Germany', 'DEU']]",2011,3-2011,9,68989584
196,Facebook Comment Volume Dataset Data Set,40949,Other,54,3/11/2016,No,93028,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,"[['Lovely Professional University', 'Phagwara', 'India', 'IND']]",2016,3-2016,4,2211246
197,QSAR fish toxicity Data Set,908,Physical,7,9/23/2019,No,25505,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"[['University of Milano', 'Milan', 'Italy', 'ITA']]",2019,9-2019,1,6356
198,microblogPCU Data Set,221579,Computer,20,3/17/2015,Yes,49525,1,0,0,0,0,0,1,0,1,0,1,0,3,0,1,1,0,2,1,1,0,0,0,0,0,0,0,2,"[[""Xi'an Jiaotong University"", ""Xi'an"", 'China', 'CHN']]",2015,3-2015,5,4431580
199,ISTANBUL STOCK EXCHANGE Data Set,536,Business,8,6/1/2013,No,136096,1,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,"[['University of Tennessee', 'Knoxville, TN', 'United States', 'USA']]",2013,6-2013,7,4288
200,Arcene Data Set,900,Life,10000,2/29/2008,No,133134,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of California, Berkeley', 'Berkeley, CA', 'United States', 'USA']]",2008,2-2008,12,9000000
201,SkillCraft1 Master Table Dataset Data Set,3395,Game,20,10/22/2013,Yes,63836,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,"[['Simon Fraser University', 'Burnaby', 'Canada', 'CAN']]",2013,10-2013,7,67900
202,Acute Inflammations Data Set,120,Life,6,2/11/2009,No,175129,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,2,"[['Polish Academy of Sciences', 'Warszawa', 'Poland', 'POL']]",2009,2-2009,11,720
203,Movie Data Set,10000,Other,0,7/7/1999,Yes,209087,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"[['Stanford University', 'Stanford, CA', 'United States', 'USA']]",1999,7-1999,21,0
